Mouse	Human	Merged Taxa
Ctbp2	CTBP2	Co_factor
Ctcf	CTCF	TF
Ctnnb1	CTNNB1	Co_factor
Cux1	CUX1	TF
Cux2	CUX2	TF
Daxx	DAXX	Co_factor
Dbp	DBP	TF
Dbx1	DBX1	TF
Dcp1a	DCP1A	Co_factor
Ddb1	DDB1	Co_factor
Ddb2	DDB2	RNBP
Ddit3	DDIT3	TF
Ddx3x	DDX3X	Co_factor
Ddx5	DDX5	Co_factor
Dlx2	DLX2	TF
Dlx3	DLX3	TF
Dlx4	DLX4	TF
Dlx5	DLX5	TF
Dlx6	DLX6	TF
Dmbx1	DMBX1	TF
Dmtf1	DMTF1	TF
Drap1	DRAP1	Co_factor
Dtx1	DTX1	Co_factor
E2f1	E2F1	TF
E2f2	E2F2	TF
E2f3	E2F3	TF
E2f4	E2F4	TF
E2f5	E2F5	TF
E2f6	E2F6	TF
E2f7	E2F7	TF
E4f1	E4F1	TF
Eaf2	EAF2	Co_factor
Ebf1	EBF1	TF
Eed	EED	Chromatin_remodeller
Egr1	EGR1	TF
Egr2	EGR2	TF
Egr3	EGR3	TF
Egr4	EGR4	TF
Ehf	EHF	TF
Eid1	EID1	Co_factor
Eid2	EID2	Co_factor
Elf1	ELF1	TF
Elf2	ELF2	TF
Elf3	ELF3	TF
Elf4	ELF4	TF
Elf5	ELF5	TF
Elk1	ELK1	TF
Elk3	ELK3	TF
Elk4	ELK4	TF
Emx1	EMX1	TF
Emx2	EMX2	TF
En1	EN1	TF
En2	EN2	TF
Eomes	EOMES	TF
Ep300	EP300	Co_factor
Epas1	EPAS1	TF
Erf	ERF	TF
Esr1	ESR1	TF
Esr2	ESR2	TF
Esrra	ESRRA	TF
Esrrb	ESRRB	TF
Esrrg	ESRRG	TF
Esx1	ESX1	TF
Ets1	ETS1	TF
Ets2	ETS2	TF
Etv1	ETV1	TF
Etv3	ETV3	TF
Etv4	ETV4	Co_factor
Etv5	ETV5	TF
Evi1	MECOM	TF
Evx2	EVX2	TF
Ewsr1	EWSR1	TF
Ezh1	EZH1	Chromatin_remodeller
Ezh2	EZH2	TF
Fev	FEV	TF
Fezf2	FEZF2	Co_factor
Fhl2	FHL2	Co_factor
Figla	FIGLA	TF
Fli1	FLI1	TF
Fos	FOS	TF
Fosb	FOSB	Co_factor
Fosl1	FOSL1	TF
Fosl2	FOSL2	TF
Foxa1	FOXA1	TF
Foxa2	FOXA2	TF
Foxb1	FOXB1	TF
Foxc1	FOXC1	TF
Foxd1	FOXD1	TF
Foxd2	FOXD2	TF
Foxd3	FOXD3	TF
Foxd4	FOXD4	TF
Foxe1	FOXE1	TF
Foxe3	FOXE3	TF
Foxf1a	FOXF1	TF
Foxf2	FOXF2	TF
Foxg1	FOXG1	TF
Foxh1	FOXH1	TF
Foxi1	FOXI1	TF
Foxj2	FOXJ2	TF
Foxk1	FOXK1	TF
Foxl1	FOXL1	TF
Foxl2	FOXL2	TF
Foxm1	FOXM1	TF
Foxn1	FOXN1	TF
Foxn4	FOXN4	TF
Foxo1	FOXO1	TF
Foxo3a	FOXO3	TF
Foxo4	FOXO4	TF
Foxo6	FOXO6	TF
Foxp1	FOXP1	TF
Foxp2	FOXP2	TF
Foxp3	FOXP3	TF
Foxp4	FOXP4	TF
Foxq1	FOXQ1	TF
Fus	FUS	Co_factor
Gabpa	GABPA	TF
Gadd45a	GADD45A	Co_factor
Gata1	GATA1	TF
Gata2	GATA2	TF
Gata3	GATA3	TF
Gata4	GATA4	TF
Gata5	GATA5	TF
Gata6	GATA6	Co_factor
Gatad2b	GATAD2B	Chromatin_remodeller
Gbx1	GBX1	TF
Gbx2	GBX2	TF
Gcm1	GCM1	TF
Gcm2	GCM2	TF
Gcn5l2	KAT2A	Chromatin_remodeller
Gfi1	GFI1	TF
Gli1	GLI1	TF
Gli2	GLI2	TF
Gli3	GLI3	TF
Glis2	GLIS2	Co_factor
Gmeb1	GMEB1	Co_factor
Gmeb2	GMEB2	Co_factor
Grhl1	GRHL1	TF
Grhl2	GRHL2	TF
Grhl3	GRHL3	TF
Grlf1	GRLF1	TF
Grlf1	ARHGAP35	TF
Gsc	GSC	TF
Gsx1	GSX1	TF
Gsx2	GSX2	TF
Gtf2a1l	GTF2A1L	TF
Gtf2b	GTF2B	TF
Gtf2h1	GTF2H1	TF
Gtf2h2	GTF2H2	TF
Gtf2h4	GTF2H4	TF
Gtf2i	GTF2I	TF
Gtf2ird1	GTF2IRD1	TF
Gtf2ird2	GTF2IRD2	TF
Gtf3a	GTF3A	TF
Gtf3c1	GTF3C1	TF
Hand1	HAND1	TF
Hand2	HAND2	TF
Hcfc1	HCFC1	Co_factor
Hdac1	HDAC1	Co_factor
Hdac10	HDAC10	Chromatin_remodeller
Hdac2	HDAC2	Co_factor
Hdac3	HDAC3	Co_factor
Hdac4	HDAC4	Co_factor
Hdac5	HDAC5	Co_factor
Hdac6	HDAC6	Co_factor
Hdac7	HDAC7	Co_factor
Hdac8	HDAC8	Co_factor
Hdac9	HDAC9	Chromatin_remodeller
Helt	HELT	TF
Hes2	HES2	TF
Hes3	HES3	TF
Hes5	HES5	TF
Hes6	HES6	Co_factor
Hes7	HES7	TF
Hesx1	HESX1	TF
Hey1	HEY1	Co_factor
Hhex	HHEX	Co_factor
Hic1	HIC1	TF
Hif1a	HIF1A	TF
Hivep1	HIVEP1	TF
Hivep2	HIVEP2	TF
Hlf	HLF	TF
Hltf	HLTF	Chromatin_remodeller
Hmga1	HMGA1	TF
Hmgb1	HMGB1	Co_factor
Hmgb2	HMGB2	Co_factor
Hmgn1	HMGN1	Chromatin_remodeller
Hmgn3	HMGN3	Co_factor
Hmx2	HMX2	TF
Hnf1a	HNF1A	TF
Hnf1b	HNF1B	TF
Hnf4a	HNF4A	TF
HnRNP	HNRNP	RNBP
Hnrnph2	HNRNPH2	RNBP
Hnrnpl	HNRNPL	Co_factor
hnRNP-L	HNRNPL	Co_factor
Hnrnpu	HNRNPU	Co_factor
Hnrpa3	HNRNPA3	Co_factor
Hnrpab	HNRNPAB	RNBP
Hnrpdl	HNRPDL	RNBP
Hnrpdl	HNRNPDL	RNBP
Hnrpk	HNRPK	RNBP
Hnrpk	HNRNPK	RNBP
Hoxa1	HOXA1	TF
Hoxa10	HOXA10	TF
Hoxa11	HOXA11	TF
Hoxa2	HOXA2	TF
Hoxa3	HOXA3	TF
Hoxa5	HOXA5	TF
Hoxa7	HOXA7	TF
Hoxa9	HOXA9	TF
Hoxb1	HOXB1	TF
Hoxb13	HOXB13	Co_factor
Hoxb2	HOXB2	TF
Hoxb3	HOXB3	TF
Hoxb4	HOXB4	TF
Hoxb5	HOXB5	TF
Hoxb6	HOXB6	TF
Hoxb7	HOXB7	TF
Hoxb8	HOXB8	TF
Hoxb9	HOXB9	TF
Hoxc10	HOXC10	TF
Hoxc11	HOXC11	TF
Hoxc12	HOXC12	TF
Hoxc4	HOXC4	TF
Hoxc6	HOXC6	TF
Hoxc9	HOXC9	TF
Hoxd1	HOXD1	TF
Hoxd10	HOXD10	TF
Hoxd12	HOXD12	Co_factor
Hoxd13	HOXD13	TF
Hoxd3	HOXD3	TF
Hoxd4	HOXD4	TF
Hoxd8	HOXD8	TF
Hoxd9	HOXD9	TF
Hsf1	HSF1	TF
Hsf4	HSF4	Co_factor
Htatip	KAT5	Chromatin_remodeller
Id1	ID1	Co_factor
Id2	ID2	Co_factor
Id3	ID3	Co_factor
Id4	ID4	Co_factor
Ikzf1	IKZF1	TF
Ikzf3	IKZF3	Co_factor
Irf1	IRF1	TF
Irf2	IRF2	TF
Irf3	IRF3	TF
Irf5	IRF5	TF
Irf7	IRF7	TF
Irf8	IRF8	TF
Irf9	IRF9	TF
Irx1	IRX1	TF
Irx3	IRX3	TF
Irx4	IRX4	TF
Irx5	IRX5	TF
Irx6	IRX6	TF
Isl1	ISL1	TF
Isl2	ISL2	TF
Itgb3bp	ITGB3BP	Co_factor
Jarid1a	KDM5A	Co_factor
Jarid1a	JARID1A	Co_factor
Jarid1b	KDM5B	Co_factor
Jarid1c	KDM5C	Chromatin_remodeller
Jarid1c	JARID1C	Chromatin_remodeller
Jun	JUN	TF
Junb	JUNB	TF
Jund	JUND	TF
Jundm2	JDP2	Co_factor
Kcnip3	KCNIP3	TF
Klf1	KLF1	TF
Klf10	KLF10	TF
Klf12	KLF12	TF
Klf13	KLF13	TF
Klf15	KLF15	Co_factor
Klf16	KLF16	TF
Klf4	KLF4	TF
Klf5	KLF5	TF
Klf7	KLF7	TF
Klf9	KLF9	TF
Lbx1	LBX1	TF
Lcor	LCOR	TF
Lef1	LEF1	TF
Lhx1	LHX1	TF
Lhx2	LHX2	TF
Lhx3	LHX3	TF
Lhx4	LHX4	TF
Lhx5	LHX5	TF
Lhx6	LHX6	TF
Lhx8	LHX8	TF
Lhx9	LHX9	TF
Lmx1a	LMX1A	TF
Lmx1b	LMX1B	TF
Lpp	LPP	Co_factor
Mafa	MAFA	TF
Mafb	MAFB	Co_factor
Maff	MAFF	TF
Mafg	MAFG	TF
Mafk	MAFK	TF
Maml1	MAML1	Co_factor
Maml3	MAML3	Co_factor
Max	MAX	TF
Maz	MAZ	TF
Mbd1	MBD1	TF
Mbd2	MBD2	Chromatin_remodeller
Mdfi	MDFI	Co_factor
Mdm2	MDM2	Co_factor
Mdm4	MDM4	Co_factor
Mecp2	MECP2	Chromatin_remodeller
Med1	MED1	Co_factor
Med14	MED14	Co_factor
Med15	MED15	Co_factor
Med17	MED17	Co_factor
Med21	MED21	TF
Med23	MED23	Co_factor
Med24	MED24	Co_factor
Med6	MED6	Co_factor
Mef2a	MEF2A	TF
Mef2b	MEF2B	TF
Mef2c	MEF2C	TF
Mef2d	MEF2D	TF
Meis1	MEIS1	Co_factor
Meis2	MEIS2	TF
Meox1	MEOX1	TF
Meox2	MEOX2	TF
Mesp2	MESP2	TF
Mitf	MITF	TF
Mixl1	MIXL1	TF
Mkl2	MKL2	Co_factor
Mll1	KMT2A	TF
Mll1	MLL	TF
Mllt1	MLLT1	Co_factor
Mllt10	MLLT10	TF
Mllt3	MLLT3	Chromatin_remodeller
Mllt6	MLLT6	Co_factor
Mlx	MLX	TF
Mlxipl	MLXIPL	TF
Mn1	MN1	Co_factor
Mnat1	MNAT1	TF
Mnt	MNT	TF
Msc	MSC	Co_factor
Msx1	MSX1	TF
Msx2	MSX2	TF
Mta1	MTA1	TF
Mta2	MTA2	Chromatin_remodeller
Mtf1	MTF1	TF
Mtf2	MTF2	Chromatin_remodeller
Mxd1	MXD1	TF
Mxi1	MXI1	TF
Myb	MYB	TF
Mybbp1a	MYBBP1A	Co_factor
Mybl1	MYBL1	TF
Mybl2	MYBL2	TF
Myc	MYC	TF
Mycbp	MYCBP	Co_factor
Mycn	MYCN	TF
Myef2	MYEF2	RNBP
Myf5	MYF5	TF
Myf6	MYF6	TF
Myod1	MYOD1	TF
Myog	MYOG	TF
Myst3	KAT6A	Co_factor
Myst3	MYST3	Co_factor
Myt1	MYT1	TF
Myt1l	MYT1L	TF
Mzf1	MZF1	TF
Nab2	NAB2	Co_factor
Nanog	NANOG	TF
Ncoa1	NCOA1	Co_factor
Ncoa2	NCOA2	Co_factor
Ncoa3	NCOA3	Co_factor
Ncoa4	NCOA4	Co_factor
Ncoa5	NCOA5	Co_factor
Ncoa6	NCOA6	Co_factor
Ncoa7	NCOA7	Co_factor
Ncor1	NCOR1	Co_factor
Ncor2	NCOR2	Co_factor
Neurod1	NEUROD1	TF
Neurod2	NEUROD2	TF
Neurod6	NEUROD6	TF
Neurog1	NEUROG1	TF
Neurog3	NEUROG3	TF
Nfat5	NFAT5	TF
Nfatc1	NFATC1	TF
Nfatc2	NFATC2	TF
Nfatc3	NFATC3	TF
Nfatc4	NFATC4	Co_factor
Nfe2	NFE2	TF
Nfe2l1	NFE2L1	TF
Nfe2l2	NFE2L2	TF
Nfe2l3	NFE2L3	TF
Nfia	NFIA	TF
Nfic	NFIC	TF
Nfil3	NFIL3	TF
Nfix	NFIX	TF
Nfkb1	NFKB1	TF
Nfkb2	NFKB2	TF
Nfkbiz	NFKBIZ	Co_factor
Nfx1	NFX1	RNBP
Nfya	NFYA	TF
Nfyb	NFYB	TF
Nfyc	NFYC	TF
Nhlh1	NHLH1	TF
Nhlh2	NHLH2	TF
Nkx1-2	NKX1-2	TF
Nkx2-1	NKX2-1	TF
Nkx2-3	NKX2-3	TF
Nkx2-5	NKX2-5	TF
Nkx2-6	NKX2-6	TF
Nkx2-9	NKX2-8	TF
Nkx3-1	NKX3-1	TF
Nkx3-2	NKX3-2	TF
Nkx6-1	NKX6-1	TF
Nkx6-2	NKX6-2	TF
Nobox	NOBOX	TF
Notch1	NOTCH1	Co_factor
Notch2	NOTCH2	Co_factor
Notch3	NOTCH3	Co_factor
Noto	NOTO	TF
Npas1	NPAS1	TF
Npas2	NPAS2	TF
Npas3	NPAS3	TF
Npas4	NPAS4	TF
Npm1	NPM1	Co_factor
Nr0b1	NR0B1	TF
Nr1d1	NR1D1	TF
Nr1d2	NR1D2	TF
Nr1h2	NR1H2	TF
Nr1h3	NR1H3	TF
Nr1h4	NR1H4	TF
Nr1h5	NR1H5P	TF
Nr1i2	NR1I2	TF
Nr1i3	NR1I3	TF
Nr2c1	NR2C1	TF
Nr2c2	NR2C2	TF
Nr2e1	NR2E1	TF
Nr2e3	NR2E3	Co_factor
Nr2f1	NR2F1	TF
Nr2f2	NR2F2	TF
Nr2f6	NR2F6	TF
Nr3c1	NR3C1	TF
Nr3c2	NR3C2	TF
Nr4a1	NR4A1	TF
Nr4a2	NR4A2	TF
Nr4a3	NR4A3	TF
Nr5a1	NR5A1	TF
Nr5a2	NR5A2	TF
Nr6a1	NR6A1	TF
Nrg1	NRG1	Co_factor
Nrip1	NRIP1	Co_factor
Nrip3	NRIP3	Co_factor
Nrl	NRL	TF
Nsd1	NSD1	Co_factor
Nufip1	NUFIP1	Co_factor
Olig1	OLIG1	TF
Olig2	OLIG2	TF
Olig3	OLIG3	TF
Onecut1	ONECUT1	TF
Onecut2	ONECUT2	TF
Onecut3	ONECUT3	Chromatin_remodeller
Otx2	OTX2	TF
Ovol1	OVOL1	TF
Ovol2	OVOL2	TF
Pabpn1	PABPN1	Co_factor
Parp1	PARP1	Chromatin_remodeller
Patz1	PATZ1	Co_factor
Pax1	PAX1	TF
Pax2	PAX2	TF
Pax3	PAX3	Co_factor
Pax4	PAX4	TF
Pax5	PAX5	TF
Pax6	PAX6	TF
Pax7	PAX7	TF
Pax8	PAX8	TF
Pax9	PAX9	TF
Paxip1	PAXIP1	Co_factor
Pbrm1	PBRM1	Chromatin_remodeller
Pbx1	PBX1	TF
Pbx3	PBX3	TF
Pbx4	PBX4	Co_factor
Pcaf	KAT2B	Co_factor
Pcbd1	PCBD1	Co_factor
Pcbp1	PCBP1	RNBP
Pcbp2	PCBP2	RNBP
Pcgf2	PCGF2	TF
Pcgf6	PCGF6	Chromatin_remodeller
Pdcd7	PDCD7	Co_factor
Pdx1	PDX1	TF
Pgr	PGR	TF
Pgs1	PGS1	TF
Phb2	PHB2	Co_factor
Phf1	PHF1	Chromatin_remodeller
Phf17	PHF17	Chromatin_remodeller
Phf17	JADE1	Chromatin_remodeller
Phox2a	PHOX2A	TF
Phox2b	PHOX2B	TF
Pias1	PIAS1	Co_factor
Pias2	PIAS2	Co_factor
Pias3	PIAS3	Co_factor
Pias4	PIAS4	Co_factor
Pin1	PIN1	Co_factor
Pitx1	PITX1	TF
Pitx2	PITX2	Co_factor
Pitx3	PITX3	TF
Pknox1	PKNOX1	TF
Pknox2	PKNOX2	Co_factor
Plag1	PLAG1	TF
Plagl1	PLAGL1	TF
Plagl2	PLAGL2	TF
Pml	PML	Chromatin_remodeller
Polr2a	POLR2A	TF
Polr2b	POLR2B	TF
Polr2j	POLR2J	TF
Polr2k	POLR2K	Co_factor
Pou2af1	POU2AF1	Co_factor
Pou2f1	POU2F1	TF
Pou2f2	POU2F2	TF
Pou3f1	POU3F1	TF
Pou3f2	POU3F2	TF
Pou3f4	POU3F4	TF
Pou4f1	POU4F1	TF
Pou4f3	POU4F3	TF
Pou5f1	POU5F1	TF
Pou6f1	POU6F1	TF
Ppara	PPARA	TF
Ppard	PPARD	TF
Pparg	PPARG	TF
Ppargc1b	PPARGC1B	Co_factor
Pqbp1	PQBP1	Co_factor
Prdm1	PRDM1	TF
Preb	PREB	TF
Prop1	PROP1	TF
Prrx1	PRRX1	Co_factor
Prrx2	PRRX2	TF
Prrxl1	DRGX	TF
Psmc5	PSMC5	Co_factor
Ptf1a	PTF1A	TF
Pura	PURA	RNBP
Purb	PURB	RNBP
Rara	RARA	TF
Rarb	RARB	TF
Rarg	RARG	TF
Rax	RAX	Co_factor
Rb1	RB1	Co_factor
Rbak	RBAK	Co_factor
Rbbp7	RBBP7	Co_factor
Rbl1	RBL1	Co_factor
Rbl2	RBL2	Chromatin_remodeller
Rbpj	RBPJ	TF
Rbpjl	RBPJL	TF
Rcor2	RCOR2	Co_factor
Rel	REL	TF
Rela	RELA	TF
Relb	RELB	TF
Rest	REST	TF
Rfx1	RFX1	TF
Rfx2	RFX2	TF
Rfx4	RFX4	TF
Rfx5	RFX5	TF
Rfxank	RFXANK	Co_factor
Rfxap	RFXAP	Co_factor
Ring1	RING1	Co_factor
Rnf14	RNF14	Co_factor
Rnf2	RNF2	Co_factor
Rnf25	RNF25	Co_factor
Rnf4	RNF4	Co_factor
Rora	RORA	TF
Rorb	RORB	TF
Rorc	RORC	TF
Rpl7	RPL7	Co_factor
Rpl7a	RPL7A	Co_factor
Rpo1-2	POLR1B	TF
Rreb1	RREB1	TF
Rrn3	RRN3	Co_factor
Runx1	RUNX1	TF
Runx1t1	RUNX1T1	Co_factor
Runx2	RUNX2	TF
Runx3	RUNX3	TF
Rxra	RXRA	Co_factor
Rxrb	RXRB	TF
Rybp	RYBP	Co_factor
Safb	SAFB	Co_factor
Safb2	SAFB2	Co_factor
Sall1	SALL1	Chromatin_remodeller
Sall2	SALL2	TF
Sall3	SALL3	Chromatin_remodeller
Sall4	SALL4	Co_factor
Satb1	SATB1	TF
Satb2	SATB2	TF
Scmh1	SCMH1	TF
Scml2	SCML2	Co_factor
Scrt1	SCRT1	TF
Scx	SCX	Co_factor
Sebox	SEBOX	TF
Sertad1	SERTAD1	Co_factor
Sertad2	SERTAD2	Co_factor
Setdb1	SETDB1	Co_factor
Sfpi1	SPI1	TF
Sim2	SIM2	TF
Sin3a	SIN3A	Co_factor
Sin3b	SIN3B	Co_factor
Sirt2	SIRT2	Chromatin_remodeller
Sirt3	SIRT3	Chromatin_remodeller
Six1	SIX1	TF
Six2	SIX2	TF
Six3	SIX3	TF
Six4	SIX4	TF
Ski	SKI	Co_factor
Skil	SKIL	Co_factor
Smad3	SMAD3	TF
Smad5	SMAD5	TF
Smad7	SMAD7	Co_factor
Smad9	SMAD9	Co_factor
Smarca1	SMARCA1	Chromatin_remodeller
Smarca2	SMARCA2	Co_factor
Smarca4	SMARCA4	Co_factor
Smarca5	SMARCA5	Chromatin_remodeller
Smarcal1	SMARCAL1	Chromatin_remodeller
Smarcb1	SMARCB1	Chromatin_remodeller
Smarcc1	SMARCC1	Co_factor
Smarcd1	SMARCD1	Chromatin_remodeller
Smarcd2	SMARCD2	Chromatin_remodeller
Smarcd3	SMARCD3	Co_factor
Smarce1	SMARCE1	Co_factor
Smyd1	SMYD1	Chromatin_remodeller
Smyd3	SMYD3	Co_factor
Snai1	SNAI1	TF
Snai2	SNAI2	TF
Snai3	SNAI3	TF
Snapc4	SNAPC4	TF
Snurf	SNURF	Co_factor
Snw1	SNW1	Co_factor
Sox1	SOX1	TF
Sox10	SOX10	TF
Sox11	SOX11	TF
Sox13	SOX13	TF
Sox14	SOX14	TF
Sox15	SOX15	TF
Sox17	SOX17	TF
Sox18	SOX18	TF
Sox2	SOX2	TF
Sox21	SOX21	TF
Sox3	SOX3	TF
Sox4	SOX4	TF
Sox5	SOX5	TF
Sox6	SOX6	TF
Sox7	SOX7	TF
Sox8	SOX8	TF
Sox9	SOX9	TF
Sp1	SP1	TF
Sp100	SP100	Co_factor
Sp3	SP3	TF
Sp4	SP4	TF
Sp6	SP6	TF
Sp7	SP7	TF
Sp8	SP8	TF
Spdef	SPDEF	TF
Spen	SPEN	RNBP
Spib	SPIB	TF
Spic	SPIC	TF
Spz1	SPZ1	TF
Sra1	SRA1	Co_factor
Srebf1	SREBF1	TF
Srebf2	SREBF2	TF
Srf	SRF	TF
Sry	SRY	TF
Ssrp1	SSRP1	Co_factor
Stat1	STAT1	TF
Stat3	STAT3	TF
Stat4	STAT4	TF
Stat5a	STAT5A	TF
Stat5b	STAT5B	TF
Stat6	STAT6	TF
Sub1	SUB1	TF
Supt16h	SUPT16H	Chromatin_remodeller
Supt4h1	SUPT4H1	Co_factor
Supt5h	SUPT5H	Co_factor
Suv39h1	SUV39H1	Co_factor
Suv39h2	SUV39H2	Co_factor
Suz12	SUZ12	Co_factor
T	T	TF
Tada3l	TADA3	Co_factor
Taf1	TAF1	Co_factor
Taf10	TAF10	TF
Taf11	TAF11	TF
Taf12	TAF12	Co_factor
Taf1a	TAF1A	TF
Taf1c	TAF1C	TF
Taf2	TAF2	TF
Taf3	TAF3	TF
Taf4b	TAF4B	Co_factor
Taf6	TAF6	TF
Taf6l	TAF6L	Chromatin_remodeller
Taf7	TAF7	TF
Taf7l	TAF7L	TF
Taf8	TAF8	TF
Taf9	TAF9	TF
Tal1	TAL1	TF
Tal2	TAL2	TF
Tbl1x	TBL1X	Co_factor
Tbpl1	TBPL1	TF
Tbr1	TBR1	Co_factor
Tbx1	TBX1	TF
Tbx15	TBX15	TF
Tbx18	TBX18	TF
Tbx19	TBX19	TF
Tbx2	TBX2	TF
Tbx20	TBX20	TF
Tbx21	TBX21	TF
Tbx22	TBX22	TF
Tbx3	TBX3	TF
Tbx4	TBX4	TF
Tbx5	TBX5	TF
Tbx6	TBX6	TF
Tcea2	TCEA2	TF
Tcf12	TCF12	TF
Tcf15	TCF15	TF
Tcf20	TCF20	TF
Tcf23	TCF23	TF
Tcf4	TCF4	TF
Tcf7	TCF7	TF
Tcf7l2	TCF7L2	TF
Tcfap2a	TCFAP2A	TF
Tcfap2a	TFAP2A	TF
Tcfap2b	TFAP2B	TF
Tcfap2e	TFAP2E	TF
Tcfap4	TFAP4	TF
Tcfcp2	TFCP2	TF
Tcfe2a	TCF3	TF
Tcf3	TCF3	TF
Tcfe3	TFE3	TF
Tcfec	TFEC	TF
Tdg	TDG	Co_factor
Tead1	TEAD1	TF
Tead2	TEAD2	TF
Tead3	TEAD3	TF
Tead4	TEAD4	TF
Tef	TEF	TF
Tfam	TFAM	TF
Tfdp1	TFDP1	TF
Tfdp2	TFDP2	Co_factor
Tgfb1i1	TGFB1I1	TF
Tgif1	TGIF1	TF
Tgif2lx	TGIF2LX	TF
Tgs1	TGS1	Chromatin_remodeller
Thra	THRA	TF
Thrap3	THRAP3	Co_factor
Thrb	THRB	TF
Tle1	TLE1	Co_factor
Tle2	TLE2	Co_factor
Tle3	TLE3	Co_factor
Tle4	TLE4	Co_factor
Tle6	TLE6	Co_factor
Tlx1	TLX1	TF
Tlx2	TLX2	TF
Tlx3	TLX3	TF
Tmf1	TMF1	Co_factor
Topors	TOPORS	RNBP
Tox	TOX	Chromatin_remodeller
Traf4	TRAF4	Co_factor
Trerf1	TRERF1	Co_factor
Trim24	TRIM24	Co_factor
Trim28	TRIM28	Co_factor
Trim33	TRIM33	Co_factor
Trip11	TRIP11	Co_factor
Trp53	TP53	TF
Trps1	TRPS1	TF
Trrap	TRRAP	Co_factor
Tsc2	TSC2	Co_factor
Tsc22d1	TSC22D1	Co_factor
Ttf1	TTF1	TF
Twist1	TWIST1	TF
Twist2	TWIST2	TF
Ubp1	UBP1	Co_factor
Ubtf	UBTF	TF
Uncx	UNCX	TF
Usf1	USF1	TF
Usf2	USF2	TF
Utf1	UTF1	Co_factor
Vav1	VAV1	Co_factor
Vax1	VAX1	Co_factor
Vax2	VAX2	TF
Vdr	VDR	Co_factor
Vezf1	VEZF1	TF
Vgll2	VGLL2	Co_factor
Vsx1	VSX1	TF
Vsx2	VSX2	TF
Wt1	WT1	TF
Wwox	WWOX	Co_factor
Wwtr1	WWTR1	Co_factor
Xbp1	XBP1	TF
Ybx1	YBX1	RNBP
Yy1	YY1	TF
Zbtb16	ZBTB16	TF
Zbtb17	ZBTB17	TF
Zfp60	ZBTB17	TF
Zbtb20	ZBTB20	TF
Zbtb33	ZBTB33	TF
Zbtb7b	ZBTB7B	TF
Zc3h8	ZC3H8	TF
Zeb1	ZEB1	TF
Zeb2	ZEB2	TF
